time,rflux,flux,
1325.2970, 0.99978070, 0.99991611,
1325.2984, 0.99991024, 1.0000428,
1325.2998, 0.99985824, 0.99998800,
1325.3011, 0.99989967, 1.0000267,
1325.3025, 0.99987484, 0.99999905,
1325.3039, 0.99994209, 1.0000636,
1325.3053, 0.99986458, 0.99998325,
1325.3067, 0.99993366, 1.0000496,
1325.3081, 1.0000179, 1.0001313,
1325.3095, 0.99995756, 1.0000681,
1325.3109, 0.99969071, 0.99979869,
1325.3123, 0.99974705, 0.99985272,
1325.3136, 0.99973246, 0.99983526,
1325.3150, 0.99991718, 1.0000174,
1325.3164, 1.0000798, 1.0001776,
1325.3178, 0.99974877, 0.99984406,
1325.3192, 0.99986547, 0.99995821,
1325.3206, 1.0001662, 1.0002566,
1325.3220, 0.99986756, 0.99995553,
1325.3234, 0.99997331, 1.0000587,
1325.3248, 0.99988093, 0.99996402,
1325.3261, 0.99987644, 0.99995715,
1325.3275, 1.0001392, 1.0002175,
1325.3289, 0.99983723, 0.99991322,
1325.3303, 0.99992921, 1.0000029,
1325.3317, 1.0000494, 1.0001209,
1325.3331, 0.99973184, 0.99980102,
1325.3345, 0.99992498, 0.99999186,
1325.3359, 0.99999647, 1.0000611,
1325.3373, 1.0000601, 1.0001226,
1325.3386, 0.99986942, 0.99992980,
1325.3400, 1.0000243, 1.0000823,
1325.3414, 0.99988116, 0.99993713,
1325.3428, 1.0001013, 1.0001552,
1325.3442, 0.99997659, 1.0000283,
1325.3456, 0.99997285, 1.0000226,
1325.3470, 0.99969852, 0.99974619,
1325.3484, 0.99992326, 0.99996904,
1325.3498, 0.99978674, 0.99983043,
1325.3511, 1.0000491, 1.0000908,
1325.3525, 0.99996746, 1.0000072,
1325.3539, 1.0001235, 1.0001613,
1325.3553, 0.99998015, 1.0000159,
1325.3567, 0.99992990, 0.99996393,
1325.3581, 1.0001298, 1.0001620,
1325.3595, 0.99987756, 0.99990772,
1325.3609, 1.0000373, 1.0000659,
1325.3623, 0.99996856, 0.99999520,
1325.3636, 1.0000303, 1.0000552,
1325.3650, 1.0000445, 1.0000676,
1325.3664, 1.0000024, 1.0000236,
1325.3678, 0.99983053, 0.99985002,
1325.3692, 1.0000289, 1.0000467,
1325.3706, 1.0000195, 1.0000355,
1325.3720, 0.99981343, 0.99982767,
1325.3734, 1.0000358, 1.0000485,
1325.3748, 0.99999996, 1.0000111,
1325.3761, 0.99996351, 0.99997298,
1325.3775, 1.0000771, 1.0000849,
1325.3789, 0.99992975, 0.99993589,
1325.3803, 1.0000741, 1.0000788,
1325.3817, 0.99999958, 1.0000027,
1325.3831, 0.99998303, 0.99998464,
1325.3845, 0.99995238, 0.99995244,
1325.3859, 1.0000282, 1.0000267,
1325.3873, 0.99996189, 0.99995879,
1325.3886, 1.0000036, 0.99999908,
1325.3900, 1.0000267, 1.0000206,
1325.3914, 0.99997872, 0.99997133,
1325.3928, 0.99996012, 0.99995129,
1325.3942, 0.99993587, 0.99992562,
1325.3956, 0.99998139, 0.99996970,
1325.3970, 0.99992605, 0.99991306,
1325.3984, 1.0000386, 1.0000243,
1325.3998, 1.0001345, 1.0001188,
1325.4011, 0.99985276, 0.99983583,
1325.4025, 1.0001094, 1.0000911,
1325.4039, 1.0000428, 1.0000231,
1325.4053, 1.0000303, 1.0000095,
1325.4067, 0.99998535, 0.99996318,
1325.4081, 1.0000209, 0.99999746,
1325.4095, 1.0000732, 1.0000486,
1325.4109, 1.0000838, 1.0000578,
1325.4123, 0.99994769, 0.99992063,
1325.4136, 0.99970410, 0.99967586,
1325.4150, 0.99988627, 0.99985683,
1325.4164, 0.99984862, 0.99981811,
1325.4178, 1.0000627, 1.0000310,
1325.4192, 0.99982618, 0.99979340,
1325.4206, 0.99990264, 0.99986867,
1325.4220, 1.0000075, 0.99997233,
1325.4234, 1.0001082, 1.0000721,
1325.4248, 1.0000267, 0.99998940,
1325.4261, 1.0000879, 1.0000496,
1325.4275, 0.99991866, 0.99987933,
1325.4289, 0.99988901, 0.99984872,
1325.4303, 1.0000339, 0.99999256,
1325.4317, 1.0000036, 0.99996112,
1325.4331, 1.0001156, 1.0000722,
1325.4345, 0.99991634, 0.99987189,
1325.4359, 1.0000469, 1.0000015,
1325.4373, 0.99996305, 0.99991680,
1325.4386, 0.99981108, 0.99976389,
1325.4400, 1.0000238, 0.99997562,
1325.4414, 1.0001432, 1.0000942,
1325.4428, 1.0001180, 1.0000681,
1325.4442, 0.99995102, 0.99990012,
1325.4456, 0.99981680, 0.99976520,
1325.4470, 0.99996671, 0.99991427,
1325.4484, 0.99972641, 0.99967302,
1325.4498, 0.99977645, 0.99972211,
1325.4511, 0.99966202, 0.99960685,
1325.4525, 0.99961863, 0.99956275,
1325.4539, 0.99960488, 0.99954828,
1325.4553, 0.99975251, 0.99969507,
1325.4567, 0.99977192, 0.99971364,
1325.4581, 0.99977524, 0.99971625,
1325.4595, 0.99966602, 0.99960620,
1325.4609, 0.99990544, 0.99984489,
1325.4623, 0.99965990, 0.99959853,
1325.4636, 0.99961970, 0.99955774,
1325.4650, 0.99969399, 0.99963131,
1325.4664, 0.99971757, 0.99965429,
1325.4678, 0.99980092, 0.99973680,
1325.4692, 0.99979334, 0.99972850,
1325.4706, 0.99977668, 0.99971126,
1325.4720, 0.99954190, 0.99947577,
1325.4734, 0.99960680, 0.99953996,
1325.4748, 0.99962938, 0.99956194,
1325.4761, 0.99974183, 0.99967390,
1325.4775, 0.99988395, 0.99981530,
1325.4789, 0.99980870, 0.99973946,
1325.4803, 0.99978654, 0.99971647,
1325.4817, 0.99962803, 0.99955737,
1325.4831, 0.99974315, 0.99967200,
1325.4845, 0.99963980, 0.99956807,
1325.4859, 0.99984274, 0.99977040,
1325.4873, 1.0000110, 0.99993801,
1325.4886, 0.99970062, 0.99962721,
1325.4900, 0.99985799, 0.99978398,
1325.4914, 0.99977323, 0.99969875,
1325.4928, 0.99963575, 0.99956069,
1325.4942, 0.99978030, 0.99970474,
1325.4956, 0.99979345, 0.99971730,
1325.4970, 0.99963353, 0.99955679,
1325.4984, 0.99983665, 0.99975954,
1325.4998, 0.99954217, 0.99946449,
1325.5011, 0.99961782, 0.99953978,
1325.5025, 0.99975210, 0.99967344,
1325.5039, 0.99978404, 0.99970479,
1325.5053, 0.99996277, 0.99988314,
1325.5067, 0.99961913, 0.99953918,
1325.5081, 0.99989450, 0.99981393,
1325.5095, 0.99970758, 0.99962655,
1325.5109, 0.99972050, 0.99963911,
1325.5123, 0.99985827, 0.99977639,
1325.5136, 0.99970407, 0.99962184,
1325.5150, 0.99983137, 0.99974878,
1325.5164, 0.99983250, 0.99974955,
1325.5178, 0.99998396, 0.99990041,
1325.5192, 0.99962317, 0.99953929,
1325.5206, 0.99986915, 0.99978477,
1325.5220, 0.99975603, 0.99967142,
1325.5234, 0.99982204, 0.99973683,
1325.5248, 0.99981881, 0.99973324,
1325.5261, 0.99975056, 0.99966452,
1325.5275, 0.99972896, 0.99964280,
1325.5289, 0.99979416, 0.99970752,
1325.5303, 0.99977626, 0.99968926,
1325.5317, 0.99968000, 0.99959265,
1325.5331, 0.99984312, 0.99975540,
1325.5345, 0.99969667, 0.99960861,
1325.5359, 0.99958202, 0.99949373,
1325.5373, 0.99979758, 0.99970880,
1325.5386, 0.99976529, 0.99967615,
1325.5400, 0.99967655, 0.99958718,
1325.5414, 0.99982926, 0.99973940,
1325.5428, 0.99982076, 0.99973079,
